file,time,k,steps,finished,correct,n
random/000002_000000000002.input,0.00,0,0,1,correct,2
random/000002_000000000006.input,0.00,1,2,1,correct,6
random/000002_000000000012.input,0.00,2,4,1,correct,12
random/000002_000000000020.input,0.00,2,4,1,correct,20
random/000004_000000000004.input,0.00,0,0,1,correct,4
random/000004_000000000012.input,0.00,4,8,1,correct,12
random/000004_000000000024.input,0.00,4,8,1,correct,24
random/000004_000000000040.input,0.01,4,8,1,correct,40
random/000006_000000000007.input,0.00,1,2,1,correct,7
random/000006_000000000018.input,0.00,4,8,1,correct,18
random/000006_000000000036.input,0.00,4,8,1,correct,36
random/000006_000000000060.input,0.01,5,10,1,correct,60
random/000008_000000000009.input,0.00,1,2,1,correct,9
random/000008_000000000024.input,0.00,5,10,1,correct,24
random/000008_000000000048.input,0.01,7,14,1,correct,48
random/000008_000000000080.input,0.03,7,14,1,correct,80
random/000010_000000000012.input,0.00,2,4,1,correct,12
random/000010_000000000030.input,0.00,8,16,1,correct,30
random/000010_000000000060.input,0.02,10,20,1,correct,60
random/000010_000000000100.input,0.06,10,20,1,correct,100
random/000012_000000000014.input,0.00,1,2,1,correct,14
random/000012_000000000036.input,0.01,10,20,1,correct,36
random/000012_000000000072.input,0.03,11,22,1,correct,72
random/000012_000000000120.input,0.08,11,22,1,correct,120
random/000014_000000000016.input,0.00,2,4,1,correct,16
random/000014_000000000042.input,0.01,8,16,1,correct,42
random/000014_000000000084.input,0.05,13,26,1,correct,84
random/000014_000000000140.input,0.13,13,26,1,correct,140
random/000016_000000000019.input,0.00,1,2,1,correct,19
random/000016_000000000048.input,0.01,11,22,1,correct,48
random/000016_000000000096.input,0.07,15,30,1,correct,96
random/000016_000000000160.input,0.19,15,30,1,correct,160
random/000018_000000000021.input,0.00,2,4,1,correct,21
random/000018_000000000054.input,0.02,11,22,1,correct,54
random/000018_000000000108.input,0.09,15,30,1,correct,108
random/000018_000000000180.input,0.25,17,34,1,correct,180
random/000020_000000000024.input,0.00,2,4,1,correct,24
random/000020_000000000060.input,0.03,15,30,1,correct,60
random/000020_000000000120.input,0.12,18,36,1,correct,120
random/000020_000000000200.input,0.33,18,36,1,correct,200
random/000022_000000000026.input,0.00,3,6,1,correct,26
random/000022_000000000066.input,0.04,15,30,1,correct,66
random/000022_000000000132.input,0.15,19,38,1,correct,132
random/000022_000000000220.input,0.46,20,40,1,correct,220
random/000024_000000000028.input,0.00,4,8,1,correct,28
random/000024_000000000072.input,0.03,12,24,1,correct,72
random/000024_000000000144.input,0.21,22,44,1,correct,144
random/000024_000000000240.input,0.57,22,44,1,correct,240
random/000026_000000000031.input,0.00,5,10,1,correct,31
random/000026_000000000078.input,0.05,20,40,1,correct,78
random/000026_000000000156.input,0.25,23,46,1,correct,156
random/000026_000000000260.input,0.79,25,50,1,correct,260
random/000028_000000000033.input,0.00,4,8,1,correct,33
random/000028_000000000084.input,0.06,20,40,1,correct,84
random/000028_000000000168.input,0.33,26,52,1,correct,168
random/000028_000000000280.input,0.75,22,44,1,correct,280
random/000030_000000000036.input,0.00,5,10,1,correct,36
random/000030_000000000090.input,0.07,21,42,1,correct,90
random/000030_000000000180.input,0.39,27,54,1,correct,180
random/000030_000000000300.input,0.99,25,50,1,correct,300
random/000035_000000000042.input,0.00,6,12,1,correct,42
random/000035_000000000105.input,0.11,26,52,1,correct,105
random/000035_000000000210.input,0.48,26,52,1,correct,210
random/000035_000000000350.input,1.83,34,68,1,correct,250
random/000040_000000000048.input,0.00,7,14,1,correct,48
random/000040_000000000120.input,0.17,30,60,1,correct,120
random/000040_000000000240.input,0.86,35,70,1,correct,240
random/000040_000000000400.input,2.49,36,72,1,correct,400
random/000045_000000000054.input,0.00,6,12,1,correct,54
random/000045_000000000135.input,0.22,32,64,1,correct,135
random/000045_000000000270.input,1.21,39,78,1,correct,270
random/000045_000000000450.input,3.44,40,80,1,correct,450
random/000050_000000000060.input,0.00,9,18,1,correct,60
random/000050_000000000150.input,0.35,42,84,1,correct,150
random/000050_000000000300.input,1.77,46,92,1,correct,300
random/000050_000000000500.input,5.10,47,94,1,correct,500
random/000055_000000000066.input,0.00,8,16,1,correct,66
random/000055_000000000165.input,0.38,39,78,1,correct,165
random/000055_000000000330.input,2.23,48,96,1,correct,330
random/000055_000000000550.input,6.37,49,98,1,correct,550
random/000060_000000000072.input,0.00,10,20,1,correct,72
random/000060_000000000180.input,0.50,43,86,1,correct,180
random/000060_000000000360.input,2.71,50,100,1,correct,360
random/000060_000000000600.input,8.32,53,106,1,correct,600
random/000065_000000000078.input,0.01,11,22,1,correct,78
random/000065_000000000195.input,0.67,49,98,1,correct,195
random/000065_000000000390.input,3.86,59,118,1,correct,390
random/000065_000000000650.input,11.46,63,126,1,correct,650
random/000070_000000000084.input,0.01,12,24,1,correct,84
random/000070_000000000210.input,0.86,56,109,1,correct,210
random/000070_000000000420.input,4.37,60,120,1,correct,420
random/000070_000000000700.input,14.59,67,134,1,correct,700
random/000075_000000000090.input,0.01,13,26,1,correct,90
random/000075_000000000225.input,1.23,58,128,1,correct,225
random/000075_000000000450.input,5.77,68,136,1,correct,450
random/000075_000000000750.input,17.12,70,140,1,correct,750
random/000080_000000000096.input,0.01,13,25,1,correct,96
random/000080_000000000240.input,1.30,62,123,1,correct,240
random/000080_000000000480.input,7.23,73,146,1,correct,480
random/000080_000000000800.input,21.76,77,154,1,correct,800
random/000085_000000000102.input,0.01,16,32,1,correct,102
random/000085_000000000255.input,1.41,66,123,1,correct,255
random/000085_000000000510.input,8.31,76,152,1,correct,510
random/000085_000000000850.input,26.80,82,164,1,correct,850
random/000090_000000000108.input,0.02,17,33,1,correct,108
random/000090_000000000270.input,2.81,70,204,1,correct,270
random/000090_000000000540.input,9.78,78,156,1,correct,540
random/000090_000000000900.input,30.63,85,170,1,correct,900
random/000095_000000000114.input,0.03,18,36,1,correct,114
random/000095_000000000285.input,2.31,78,153,1,correct,285
random/000095_000000000570.input,12.00,86,172,1,correct,570
random/000095_000000000950.input,34.87,87,174,1,correct,950
random/000100_000000000120.input,0.03,20,40,1,correct,120
random/000100_000000000300.input,2.92,86,171,1,correct,300
random/000100_000000000600.input,14.84,95,190,1,correct,600
random/000100_000000001000.input,42.54,96,192,1,correct,1000
random/000200_000000000240.input,0.27,38,76,1,correct,240
random/000200_000000000600.input,33.29,178,493,1,correct,600
random/000200_000000001200.input,133.56,194,388,1,correct,1200
random/000300_000000000360.input,1.33,58,116,1,correct,360
random/000300_000000000900.input,152.15,283,844,1,correct,900
random/000400_000000000480.input,3.16,78,156,1,correct,480
random/000500_000000000600.input,9.81,100,200,1,correct,600
random/000600_000000000720.input,17.87,119,240,1,correct,720
