Filename,Execution Time,Found VC,Solution VC,Ratio,Difference
karate.graph.dimacs,0.007011890411377,14,14,0,0
dolphins.graph.dimacs,0.005437135696411,34,34,0,0
chesapeake.graph.dimacs,0.00468373298645,23,22,4.54545454545455,1
adjnoun.graph.dimacs,0.004407167434692,60,59,1.69491525423729,1
polbooks.graph.dimacs,0.004396915435791,62,62,0,0
football.graph.dimacs,0.004469156265259,96,94,2.12765957446808,2
celegans_metabolic.graph.dimacs,0.006425857543945,250,249,0.401606425702823,1
jazz.graph.dimacs,0.010207891464233,158,158,0,0
netscience.graph.dimacs,0.009745359420776,899,899,0,0
email.graph.dimacs,0.017261743545532,596,594,0.336700336700346,2
add20.graph.dimacs,0.025385618209839,1265,1265,0,0
power.graph.dimacs,0.027113676071167,2205,2203,0.09078529278257,2
uk.graph.dimacs,0.030311107635498,2753,2626,4.83625285605484,127
add32.graph.dimacs,0.025242805480957,2674,2674,0,0
data.graph.dimacs,0.030272483825684,2250,2161,4.1184636742249,89
polblogs.graph.dimacs,0.030872821807861,564,560,0.714285714285708,4
PGPgiantcompo.graph.dimacs,0.068311929702759,4344,4342,0.04606172270843,2
crack.graph.dimacs,0.083085298538208,5674,5637,0.656377505765477,37
as-22july06.graph.dimacs,0.148840427398682,3303,3303,0,0
cond-mat.graph.dimacs,0.105027914047241,9436,9436,0,0
memplus.graph.dimacs,0.129325866699219,10072,10072,0,0
fe_sphere.graph.dimacs,0.132327556610107,12023,10924,10.060417429513,1099
t60k.graph.dimacs,0.369315385818482,33089,30288,9.24788695192815,2801
astro-ph.graph.dimacs,0.194525718688965,10231,10230,0.009775171065485,1
fe_pwt.graph.dimacs,0.421502113342285,28035,27209,3.03576022639567,826
fe_body.graph.dimacs,0.417683362960815,31732,31336,1.26372223640541,396
cond-mat-2005.graph.dimacs,0.407131195068359,23106,23106,0,0
bcsstk33.graph.dimacs,0.381540775299072,8261,8226,0.425480184779971,35
finan512.graph.dimacs,0.766012668609619,46592,46592,0,0
bcsstk29.graph.dimacs,0.431500911712647,12714,12642,0.569530137636448,72
brack2.graph.dimacs,0.942909479141235,41662,41214,1.0870092686951,448
fe_ocean.graph.dimacs,1.51609373092651,87520,71724,22.0233115832915,15796
fe_tooth.graph.dimacs,1.03526401519775,50667,50343,0.643585006853002,324
bcsstk31.graph.dimacs,0.830000638961792,32214,32100,0.355140186915889,114
caidaRouterLevel.graph.dimacs,2.45722341537476,75317,75095,0.295625540981419,222
coAuthorsCiteseer.graph.dimacs,2.29756331443787,129195,129193,0.001548071489935,2
bcsstk32.graph.dimacs,1.3049144744873,41738,41642,0.23053647759474,96
bcsstk30.graph.dimacs,1.24684047698975,27168,27141,0.099480490770418,27
coAuthorsDBLP.graph.dimacs,3.32616329193115,155620,155618,0.001285198370368,2
citationCiteseer.graph.dimacs,4.72242593765259,118489,118115,0.316640562163982,374
cnr-2000.graph.dimacs,14.456328868866,96379,95521,0.898231802430871,858
