Filename,Execution Time,Found VC,Solution VC,Ratio,Difference
000008_000000000009.input,0.004974126815796,1,1,0,0
000006_000000000007.input,0.005145788192749,1,1,0,0
000010_000000000012.input,0.004765748977661,2,2,0,0
000012_000000000014.input,0.004730701446533,1,1,0,0
000014_000000000016.input,0.004703044891357,2,2,0,0
000002_000000000006.input,0.005404233932495,1,1,0,0
000016_000000000019.input,0.006251335144043,1,1,0,0
000018_000000000021.input,0.005787134170532,2,2,0,0
000024_000000000028.input,0.004120349884033,4,4,0,0
000022_000000000026.input,0.004109144210815,3,3,0,0
000020_000000000024.input,0.004096984863281,2,2,0,0
000026_000000000031.input,0.004128694534302,5,5,0,0
000004_000000000012.input,0.004159450531006,4,4,0,0
000035_000000000042.input,0.004095077514648,6,6,0,0
000028_000000000033.input,0.004093408584595,4,4,0,0
000002_000000000012.input,0.004020690917969,2,2,0,0
000030_000000000036.input,0.003965854644775,5,5,0,0
000045_000000000054.input,0.003944158554077,6,6,0,0
000006_000000000018.input,0.00390625,4,4,0,0
000060_000000000072.input,0.004122972488403,10,10,0,0
000050_000000000060.input,0.005817651748657,9,9,0,0
000008_000000000024.input,0.00414252281189,5,5,0,0
000055_000000000066.input,0.004475355148315,8,8,0,0
000002_000000000020.input,0.004480123519897,2,2,0,0
000004_000000000024.input,0.004009485244751,4,4,0,0
000010_000000000030.input,0.003996849060059,8,8,0,0
000040_000000000048.input,0.004116296768188,7,7,0,0
000065_000000000078.input,0.004114151000977,11,11,0,0
000070_000000000084.input,0.00410270690918,12,12,0,0
000012_000000000036.input,0.004194974899292,10,10,0,0
000080_000000000096.input,0.004053592681885,13,13,0,0
000006_000000000036.input,0.004305362701416,4,4,0,0
000014_000000000042.input,0.004205465316772,8,8,0,0
000016_000000000048.input,0.004159688949585,11,11,0,0
000004_000000000040.input,0.006030559539795,4,4,0,0
000075_000000000090.input,0.004536390304565,13,13,0,0
000008_000000000048.input,0.004630088806152,7,7,0,0
000018_000000000054.input,0.004809141159058,11,11,0,0
000085_000000000102.input,0.004674673080444,16,16,0,0
000020_000000000060.input,0.005244970321655,15,15,0,0
000090_000000000108.input,0.004801511764526,17,17,0,0
000022_000000000066.input,0.004820108413696,15,15,0,0
000010_000000000060.input,0.004362344741821,10,10,0,0
000006_000000000060.input,0.004630327224731,5,5,0,0
000024_000000000072.input,0.005321979522705,12,12,0,0
000026_000000000078.input,0.005263090133667,20,20,0,0
000012_000000000072.input,0.005268096923828,11,11,0,0
000095_000000000114.input,0.005134105682373,18,18,0,0
000028_000000000084.input,0.004950523376465,20,20,0,0
000100_000000000120.input,0.004956722259521,20,20,0,0
000008_000000000080.input,0.005046606063843,7,7,0,0
000030_000000000090.input,0.005358457565308,21,21,0,0
000014_000000000084.input,0.004435062408447,13,13,0,0
000016_000000000096.input,0.005083560943604,15,15,0,0
000035_000000000105.input,0.005277872085571,26,26,0,0
000010_000000000100.input,0.004922151565552,10,10,0,0
000018_000000000108.input,0.006628274917603,15,15,0,0
000012_000000000120.input,0.005301713943481,11,11,0,0
000020_000000000120.input,0.005516767501831,18,18,0,0
000040_000000000120.input,0.00592041015625,30,30,0,0
000022_000000000132.input,0.00466775894165,19,19,0,0
000014_000000000140.input,0.005061864852905,13,13,0,0
000024_000000000144.input,0.005619525909424,22,22,0,0
000045_000000000135.input,0.005196094512939,32,32,0,0
000026_000000000156.input,0.005386829376221,23,23,0,0
000016_000000000160.input,0.005371809005737,15,15,0,0
000050_000000000150.input,0.005450487136841,42,42,0,0
000028_000000000168.input,0.005401372909546,26,26,0,0
000018_000000000180.input,0.005517482757568,17,17,0,0
000055_000000000165.input,0.005464315414429,39,39,0,0
000030_000000000180.input,0.005256175994873,27,27,0,0
000060_000000000180.input,0.00714898109436,43,43,0,0
000020_000000000200.input,0.005974769592285,18,18,0,0
000200_000000000240.input,0.005964040756226,38,38,0,0
000035_000000000210.input,0.005784749984741,26,26,0,0
000022_000000000220.input,0.004451274871826,20,20,0,0
000065_000000000195.input,0.005722522735596,49,49,0,0
000024_000000000240.input,0.006710052490234,22,22,0,0
000026_000000000260.input,0.005894899368286,25,25,0,0
000040_000000000240.input,0.005723237991333,35,35,0,0
