degree,vertices
1,41376
2,55771
3,46862
4,33179
5,24019
6,17147
7,13023
8,9795
9,7710
10,6263
11,5115
12,4365
13,3653
14,3123
15,2722
16,2350
17,2062
18,1725
19,1512
20,1342
21,1146
22,1053
23,983
24,837
25,744
26,697
27,693
28,627
29,599
30,579
31,492
32,500
33,415
34,421
35,397
36,301
37,288
38,276
39,273
40,245
41,208
42,215
43,250
44,200
45,151
46,148
47,168
48,130
49,118
50,122
51,126
52,127
53,124
54,103
55,108
56,95
57,66
58,80
59,63
60,77
61,71
62,95
63,58
64,66
65,55
66,62
67,54
68,52
69,44
70,38
71,41
72,53
73,32
74,36
75,23
76,40
77,17
78,22
79,33
80,23
81,26
82,18
83,18
84,23
85,12
86,20
87,15
88,15
89,19
90,17
91,12
92,9
93,13
94,10
95,17
96,13
97,13
98,10
99,14
100,12
101,49
102,10
103,15
104,12
105,17
106,12
107,7
108,10
109,4
110,9
111,10
112,12
113,7
114,37
115,26
116,5
117,14
118,9
119,8
120,5
121,6
122,12
123,4
124,6
125,9
126,6
127,6
128,8
129,4
130,6
131,5
132,5
133,5
134,4
135,3
136,5
137,5
138,1
139,4
140,2
141,1
142,1
143,3
144,5
145,7
146,3
147,5
148,2
149,2
150,3
151,2
152,2
153,1
154,3
155,1
156,1
157,2
158,3
160,1
161,3
162,5
163,3
164,4
165,1
166,2
170,1
171,1
172,1
173,2
174,3
176,2
178,1
180,2
184,1
185,2
189,1
190,1
194,1
196,1
198,1
200,2
201,1
203,1
210,1
211,2
213,1
220,2
228,1
240,1
265,1
266,1
286,1
336,1
