Filename,reds_time,Found VC,Solution VC,no_reds_time
karate.graph.dimacs,0.026460886001587,14,14,0.483424425125122
dolphins.graph.dimacs,0.027443647384644,34,34,0.022726535797119
chesapeake.graph.dimacs,0.026279926300049,22,22,0.025512456893921
adjnoun.graph.dimacs,0.049495697021484,59,59,0.045756340026856
polbooks.graph.dimacs,0.037494659423828,62,62,0.038528203964233
football.graph.dimacs,0.050631761550903,94,94,0.048323631286621
celegans_metabolic.graph.dimacs,0.097040414810181,249,249,0.094167709350586
jazz.graph.dimacs,0.085606575012207,158,158,0.086430311203003
netscience.graph.dimacs,0.247620582580566,899,899,0.225500345230103
email.graph.dimacs,0.20170783996582,594,594,0.194877862930298
add20.graph.dimacs,0.273347616195679,1265,1265,0.27031683921814
power.graph.dimacs,0.352341413497925,2203,2203,0.343533515930176
uk.graph.dimacs,13.2259387969971,2626,2626,12.6654210090637
add32.graph.dimacs,0.412422657012939,2674,2674,0.408154487609863
data.graph.dimacs,1.54742026329041,2161,2161,1.47801208496094
polblogs.graph.dimacs,0.422575235366821,560,560,0.424471616744995
PGPgiantcompo.graph.dimacs,0.999770879745483,4342,4342,0.988784074783325
crack.graph.dimacs,1.76269245147705,5637,5637,1.78680872917175
as-22july06.graph.dimacs,1.68619608879089,3303,3303,1.67269039154053
cond-mat.graph.dimacs,1.83485579490662,9436,9436,1.83334970474243
memplus.graph.dimacs,2.19626665115356,10072,10072,2.1514835357666
astro-ph.graph.dimacs,3.53422737121582,10230,10230,3.49205708503723
