Filename,reds_time,Found VC,Solution VC,no_reds_time
000004_000000000004.input,0.009928941726685,0,0,0.016217470169067
000002_000000000002.input,0.009734869003296,0,0,0.014716863632202
000008_000000000009.input,0.012869358062744,1,1,0.016715288162232
000006_000000000007.input,0.013907432556152,1,1,0.016119480133057
000010_000000000012.input,0.016713857650757,2,2,0.014976024627686
000012_000000000014.input,0.012925148010254,1,1,0.012813329696655
000014_000000000016.input,0.015339136123657,2,2,0.01563286781311
000002_000000000006.input,0.015008449554443,1,1,0.015849590301514
000016_000000000019.input,0.015952110290527,1,1,0.013113498687744
000018_000000000021.input,0.01433801651001,2,2,0.014992237091065
000024_000000000028.input,0.016132116317749,4,4,0.013815402984619
000022_000000000026.input,0.013838291168213,3,3,0.015046834945679
000020_000000000024.input,0.014007568359375,2,2,0.014287233352661
000026_000000000031.input,0.017087936401367,5,5,0.016215562820435
000004_000000000012.input,0.018041849136353,4,4,0.014297246932983
000035_000000000042.input,0.015597820281983,6,6,0.015403270721436
000028_000000000033.input,0.016214847564697,4,4,0.017635583877564
000002_000000000012.input,0.014662265777588,2,2,0.013730049133301
000030_000000000036.input,0.016265392303467,5,5,0.016881704330444
000045_000000000054.input,0.015295505523682,6,6,0.016969680786133
000006_000000000018.input,0.015032529830933,4,4,0.016133546829224
000060_000000000072.input,0.015034437179566,10,10,0.015046834945679
000050_000000000060.input,0.017698049545288,9,9,0.01778507232666
000008_000000000024.input,0.016521692276001,5,5,0.015600204467774
000055_000000000066.input,0.017262935638428,8,8,0.015658617019653
000002_000000000020.input,0.016137361526489,2,2,0.014998435974121
000004_000000000024.input,0.017475366592407,4,4,0.017058849334717
000010_000000000030.input,0.017995595932007,8,8,0.01737642288208
000040_000000000048.input,0.012665748596191,7,7,0.014338970184326
000065_000000000078.input,0.017989873886108,11,11,0.014723062515259
000070_000000000084.input,0.016018867492676,12,12,0.017638683319092
000012_000000000036.input,0.017958641052246,10,10,0.017128467559815
000080_000000000096.input,0.016652345657349,13,13,0.014030933380127
000006_000000000036.input,0.015649318695068,4,4,0.018312454223633
000014_000000000042.input,0.014705181121826,8,8,0.017021656036377
000016_000000000048.input,0.016123056411743,11,11,0.016672611236572
000004_000000000040.input,0.01699686050415,4,4,0.014775037765503
000075_000000000090.input,0.015982627868652,13,13,0.015309095382691
000008_000000000048.input,0.018321990966797,7,7,0.016406774520874
000018_000000000054.input,0.019094228744507,11,11,0.017873764038086
000085_000000000102.input,0.017062902450562,16,16,0.018950462341309
000020_000000000060.input,0.019758224487305,15,15,0.018498420715332
000090_000000000108.input,0.018624305725098,17,17,0.019056558609009
000022_000000000066.input,0.020320892333984,15,15,0.017914772033691
000010_000000000060.input,0.019155263900757,10,10,0.017416715621948
000006_000000000060.input,0.018719911575317,5,5,0.01893949508667
000024_000000000072.input,0.019775152206421,12,12,0.019383907318115
000026_000000000078.input,0.015896320343018,20,20,0.020248413085938
000012_000000000072.input,0.0199875831604,11,11,0.019956827163696
000095_000000000114.input,0.016857385635376,18,18,0.018781900405884
000028_000000000084.input,0.022260904312134,20,20,0.020391225814819
000100_000000000120.input,0.020869493484497,20,20,0.018256664276123
000008_000000000080.input,0.018287897109985,7,7,0.019574165344238
000030_000000000090.input,0.02256965637207,21,21,0.020572662353516
000014_000000000084.input,0.01981258392334,13,13,0.020555019378662
000016_000000000096.input,0.017800092697144,15,15,0.020688533782959
000035_000000000105.input,0.020748138427734,26,26,0.022194147109985
000010_000000000100.input,0.024537563323975,10,10,0.023419141769409
000018_000000000108.input,0.021431684494019,15,15,0.024871110916138
000012_000000000120.input,0.022750616073608,11,11,0.018987894058228
000020_000000000120.input,0.021183967590332,18,18,0.020713567733765
000040_000000000120.input,0.02303957939148,30,30,0.024903535842896
000022_000000000132.input,0.023154735565186,19,19,0.024279117584229
000014_000000000140.input,0.026852607727051,13,13,0.021347999572754
000024_000000000144.input,0.025136470794678,22,22,0.022194862365723
000045_000000000135.input,0.028760433197022,32,32,0.021788835525513
000026_000000000156.input,0.02317214012146,23,23,0.022750854492188
000016_000000000160.input,0.026506185531616,15,15,0.023419380187988
000050_000000000150.input,0.026237010955811,42,42,0.027819633483887
000028_000000000168.input,0.022915840148926,26,26,0.028269767761231
000018_000000000180.input,0.029102802276611,17,17,0.027329206466675
000055_000000000165.input,0.025845527648926,39,39,0.024000644683838
000030_000000000180.input,0.024498462677002,27,27,0.027702569961548
000060_000000000180.input,0.028522491455078,43,43,0.027989387512207
000020_000000000200.input,0.027075290679932,18,18,0.029441356658936
000200_000000000240.input,0.023806095123291,38,38,0.025293111801148
000035_000000000210.input,0.03048586845398,26,26,0.027135848999024
