Filename,reds_time,Found VC,Solution VC,no_reds_time
as20000102.txt.dimacs,0.440734386444092,1052,1052,0.448339700698853
email-Eu-core.txt.dimacs,0.635746717453003,579,579,0.630460500717163
ca-GrQc.txt.dimacs,0.617442607879639,2783,2783,0.59440016746521
p2p-Gnutella08.txt.dimacs,0.573026180267334,2054,2054,0.56742262840271
ca-HepTh.txt.dimacs,1.03733086585999,4981,4981,1.01640725135803
p2p-Gnutella09.txt.dimacs,0.747021436691284,2574,2574,0.727449655532837
p2p-Gnutella06.txt.dimacs,0.874459505081177,3405,3405,0.856880664825439
p2p-Gnutella05.txt.dimacs,0.882400512695313,3428,3428,0.868684053421021
p2p-Gnutella04.txt.dimacs,1.09786343574524,4348,4348,1.09546232223511
p2p-Gnutella25.txt.dimacs,1.7310254573822,6017,6017,1.69608688354492
facebook_combined.txt.dimacs,182.070400714874,2,2,224.855159282684
ca-CondMat.txt.dimacs,3.32804942131042,13521,13521,3.26546812057495
ca-HepPh.txt.dimacs,3.11793947219849,7012,7012,3.13320183753967
email-Enron.txt.dimacs,6.03566408157349,14437,14437,6.01072907447815
ca-AstroPh.txt.dimacs,5.60243010520935,12012,12012,5.65771865844727
soc-sign-Slashdot081106.txt.dimacs,25.7571432590485,19614,19614,25.8980731964111
soc-sign-Slashdot090216.txt.dimacs,28.6791682243347,21305,21305,28.5887475013733
soc-sign-Slashdot090221.txt.dimacs,28.9141192436218,21314,21314,28.6899511814117
soc-Epinions1.txt.dimacs,11.3605487346649,22280,22280,11.175891160965
soc-Slashdot0811.txt.dimacs,12.6053392887115,24046,24046,12.7765996456146
soc-sign-epinions.txt.dimacs,49.2012825012207,28184,28184,50.0992197990418
soc-Slashdot0902.txt.dimacs,14.021577835083,25770,25770,14.075959444046
loc-gowalla_edges.txt.dimacs,38.9030103683472,84225,84225,38.7723822593689
amazon0302.txt.dimacs,194.486228704453,168545,168545,173.194191217422
com-amazon.ungraph.txt.dimacs,79.1500930786133,160236,160236,78.4996113777161
com-dblp.ungraph.txt.dimacs,44.7240092754364,164949,164949,44.654709815979
web-NotreDame.txt.dimacs,208.743972539902,73880,73880,218.520988702774
twitter_combined.txt.dimacs,300,None,None,300
roadNet-PA.txt.dimacs,300,None,None,300
web-Stanford.txt.dimacs,300,None,None,300
roadNet-TX.txt.dimacs,300,None,None,300
