Filename,Execution Time,Found VC,Solution VC
000004_000000000004.input,0.040545225143433,0,0
000002_000000000002.input,0.105072021484375,0,0
000008_000000000009.input,0.068161725997925,1,1
000006_000000000007.input,0.047152757644653,1,1
000010_000000000012.input,0.043174028396607,2,2
000012_000000000014.input,0.029784202575684,1,1
000014_000000000016.input,0.032371044158936,2,2
000002_000000000006.input,0.031923055648804,1,1
000016_000000000019.input,0.047091007232666,1,1
000018_000000000021.input,0.030027866363525,2,2
000024_000000000028.input,0.028804779052734,4,4
000022_000000000026.input,0.043952226638794,3,3
000020_000000000024.input,0.029690027236939,2,2
000026_000000000031.input,0.047064781188965,5,5
000004_000000000012.input,0.032786846160889,4,4
000035_000000000042.input,0.027720928192139,6,6
000028_000000000033.input,0.044809103012085,4,4
000002_000000000012.input,0.03691291809082,2,2
000030_000000000036.input,0.031286001205444,5,5
000045_000000000054.input,0.045031070709229,6,6
000006_000000000018.input,0.028460025787354,4,4
000060_000000000072.input,0.029400110244751,10,10
000050_000000000060.input,0.031776189804077,9,9
000008_000000000024.input,0.034743070602417,5,5
000055_000000000066.input,0.029027938842774,8,8
000002_000000000020.input,0.02885103225708,2,2
000004_000000000024.input,0.029393911361694,4,4
000010_000000000030.input,0.035301923751831,8,8
000040_000000000048.input,0.031064033508301,7,7
000065_000000000078.input,0.040504217147827,11,11
000070_000000000084.input,0.035693645477295,12,12
000012_000000000036.input,0.031321048736572,10,10
000080_000000000096.input,0.032965898513794,13,13
000006_000000000036.input,0.04469895362854,4,4
000014_000000000042.input,0.032276868820191,8,8
000016_000000000048.input,0.035565853118897,11,11
000004_000000000040.input,0.036490201950073,4,4
000075_000000000090.input,0.03964114189148,13,13
000008_000000000048.input,0.030704021453858,7,7
000018_000000000054.input,0.029708862304688,11,11
000085_000000000102.input,0.046015977859497,16,16
000020_000000000060.input,0.030862092971802,15,15
000090_000000000108.input,0.031323194503784,17,17
000022_000000000066.input,0.044248104095459,15,15
000010_000000000060.input,0.032865047454834,10,10
000006_000000000060.input,0.030422925949097,5,5
000024_000000000072.input,0.042118787765503,12,12
000026_000000000078.input,0.043722152709961,20,20
000012_000000000072.input,0.031116724014282,11,11
000095_000000000114.input,0.030978918075562,18,18
000028_000000000084.input,0.041384220123291,20,20
000100_000000000120.input,0.034739017486572,20,20
000008_000000000080.input,0.030447006225586,7,7
000030_000000000090.input,0.042754173278809,21,21
000014_000000000084.input,0.039811134338379,13,13
