Filename,Execution Time,Found VC,Solution VC
000004_000000000004.input,0.056651115417481,0,0
000002_000000000002.input,0.050896167755127,0,0
000008_000000000009.input,0.044618129730225,1,1
000006_000000000007.input,0.037167072296143,1,1
000010_000000000012.input,0.041887044906616,2,2
000012_000000000014.input,0.028359889984131,1,1
000014_000000000016.input,0.041200876235962,2,2
000002_000000000006.input,0.035951137542725,1,1
000016_000000000019.input,0.036571025848389,1,1
000018_000000000021.input,0.032156229019165,2,2
000024_000000000028.input,0.034723997116089,4,4
000022_000000000026.input,0.05073881149292,3,3
000020_000000000024.input,0.03838324546814,2,2
000026_000000000031.input,0.035928964614868,5,5
000004_000000000012.input,0.036061048507691,4,4
000035_000000000042.input,0.035091161727905,6,6
000028_000000000033.input,0.033226013183594,4,4
000002_000000000012.input,0.042799949645996,2,2
000030_000000000036.input,0.043827056884766,5,5
000045_000000000054.input,0.042762994766235,6,6
000006_000000000018.input,0.047555923461914,4,4
000060_000000000072.input,0.032418012619019,10,10
000050_000000000060.input,0.038964986801148,9,9
000008_000000000024.input,0.043155908584595,5,5
000055_000000000066.input,0.038266181945801,8,8
000002_000000000020.input,0.043310165405274,2,2
000004_000000000024.input,0.032244920730591,4,4
000010_000000000030.input,0.037113189697266,8,8
000040_000000000048.input,0.036970138549805,7,7
000065_000000000078.input,0.043556928634644,11,11
000070_000000000084.input,0.045456886291504,12,12
000012_000000000036.input,0.036914348602295,10,10
000080_000000000096.input,0.036894083023071,13,13
000006_000000000036.input,0.043371915817261,4,4
000014_000000000042.input,0.038721084594727,8,8
000016_000000000048.input,0.039947032928467,11,11
000004_000000000040.input,0.041981220245361,4,4
000075_000000000090.input,0.038615703582764,13,13
000008_000000000048.input,0.03693699836731,7,7
000018_000000000054.input,0.039161920547485,11,11
000085_000000000102.input,0.032059192657471,16,16
000020_000000000060.input,0.036967277526856,15,15
000090_000000000108.input,0.036297798156738,17,17
000022_000000000066.input,0.046680927276611,15,15
000010_000000000060.input,0.03247880935669,10,10
000006_000000000060.input,0.040782928466797,5,5
000024_000000000072.input,0.03193998336792,12,12
000026_000000000078.input,0.039268016815186,20,20
000012_000000000072.input,0.045828104019165,11,11
000095_000000000114.input,0.032535076141358,18,18
000028_000000000084.input,0.041412115097046,20,20
000100_000000000120.input,0.046377897262573,20,20
000008_000000000080.input,0.043270826339722,7,7
000030_000000000090.input,0.040313959121704,21,21
000014_000000000084.input,0.04468584060669,13,13
000016_000000000096.input,0.048454761505127,15,15
000035_000000000105.input,0.038388013839722,26,26
000010_000000000100.input,0.048413038253784,10,10
000018_000000000108.input,0.04763388633728,15,15
000012_000000000120.input,0.038302183151245,11,11
000020_000000000120.input,0.052291631698608,18,18
000040_000000000120.input,0.058269023895264,30,30
000022_000000000132.input,0.047518968582153,19,19
000014_000000000140.input,0.050095081329346,13,13
000024_000000000144.input,0.041011333465576,22,22
000045_000000000135.input,0.05284309387207,32,32
000026_000000000156.input,0.037878036499024,23,23
000016_000000000160.input,0.039718151092529,15,15
000050_000000000150.input,0.049746036529541,42,42
000028_000000000168.input,0.038930892944336,26,26
000018_000000000180.input,0.046135902404785,17,17
000055_000000000165.input,0.056730270385742,39,39
000030_000000000180.input,0.058226108551025,27,27
000060_000000000180.input,0.058106184005737,43,43
000020_000000000200.input,0.057381868362427,18,18
000200_000000000240.input,0.056406974792481,38,38
000035_000000000210.input,0.061306953430176,26,26
000022_000000000220.input,0.051334857940674,20,20
000065_000000000195.input,0.061597108840942,49,49
000024_000000000240.input,0.064266920089722,22,22
000026_000000000260.input,0.051044702529907,25,25
000040_000000000240.input,0.042608976364136,35,35
000028_000000000280.input,0.048557758331299,22,22
000070_000000000210.input,0.047903060913086,56,56
000045_000000000270.input,0.06138801574707,39,39
000030_000000000300.input,0.048166036605835,25,25
000075_000000000225.input,0.053150892257691,58,58
000080_000000000240.input,0.064373016357422,62,62
