Filename,no_reds_time,Found VC,Solution VC,reds_time
000004_000000000004.input,0.056651115417481,0,0,0.040545225143433
000002_000000000002.input,0.050896167755127,0,0,0.105072021484375
000008_000000000009.input,0.044618129730225,1,1,0.068161725997925
000006_000000000007.input,0.037167072296143,1,1,0.047152757644653
000010_000000000012.input,0.041887044906616,2,2,0.043174028396607
000012_000000000014.input,0.028359889984131,1,1,0.029784202575684
000014_000000000016.input,0.041200876235962,2,2,0.032371044158936
000002_000000000006.input,0.035951137542725,1,1,0.031923055648804
000016_000000000019.input,0.036571025848389,1,1,0.047091007232666
000018_000000000021.input,0.032156229019165,2,2,0.030027866363525
000024_000000000028.input,0.034723997116089,4,4,0.028804779052734
000022_000000000026.input,0.05073881149292,3,3,0.043952226638794
000020_000000000024.input,0.03838324546814,2,2,0.029690027236939
000026_000000000031.input,0.035928964614868,5,5,0.047064781188965
000004_000000000012.input,0.036061048507691,4,4,0.032786846160889
000035_000000000042.input,0.035091161727905,6,6,0.027720928192139
000028_000000000033.input,0.033226013183594,4,4,0.044809103012085
000002_000000000012.input,0.042799949645996,2,2,0.03691291809082
000030_000000000036.input,0.043827056884766,5,5,0.031286001205444
000045_000000000054.input,0.042762994766235,6,6,0.045031070709229
000006_000000000018.input,0.047555923461914,4,4,0.028460025787354
000060_000000000072.input,0.032418012619019,10,10,0.029400110244751
000050_000000000060.input,0.038964986801148,9,9,0.031776189804077
000008_000000000024.input,0.043155908584595,5,5,0.034743070602417
000055_000000000066.input,0.038266181945801,8,8,0.029027938842774
000002_000000000020.input,0.043310165405274,2,2,0.02885103225708
000004_000000000024.input,0.032244920730591,4,4,0.029393911361694
000010_000000000030.input,0.037113189697266,8,8,0.035301923751831
000040_000000000048.input,0.036970138549805,7,7,0.031064033508301
000065_000000000078.input,0.043556928634644,11,11,0.040504217147827
000070_000000000084.input,0.045456886291504,12,12,0.035693645477295
000012_000000000036.input,0.036914348602295,10,10,0.031321048736572
000080_000000000096.input,0.036894083023071,13,13,0.032965898513794
000006_000000000036.input,0.043371915817261,4,4,0.04469895362854
000014_000000000042.input,0.038721084594727,8,8,0.032276868820191
000016_000000000048.input,0.039947032928467,11,11,0.035565853118897
000004_000000000040.input,0.041981220245361,4,4,0.036490201950073
000075_000000000090.input,0.038615703582764,13,13,0.03964114189148
000008_000000000048.input,0.03693699836731,7,7,0.030704021453858
000018_000000000054.input,0.039161920547485,11,11,0.029708862304688
000085_000000000102.input,0.032059192657471,16,16,0.046015977859497
000020_000000000060.input,0.036967277526856,15,15,0.030862092971802
000090_000000000108.input,0.036297798156738,17,17,0.031323194503784
000022_000000000066.input,0.046680927276611,15,15,0.044248104095459
000010_000000000060.input,0.03247880935669,10,10,0.032865047454834
000006_000000000060.input,0.040782928466797,5,5,0.030422925949097
000024_000000000072.input,0.03193998336792,12,12,0.042118787765503
000026_000000000078.input,0.039268016815186,20,20,0.043722152709961
000012_000000000072.input,0.045828104019165,11,11,0.031116724014282
000095_000000000114.input,0.032535076141358,18,18,0.030978918075562
000028_000000000084.input,0.041412115097046,20,20,0.041384220123291
000100_000000000120.input,0.046377897262573,20,20,0.034739017486572
000008_000000000080.input,0.043270826339722,7,7,0.030447006225586
000030_000000000090.input,0.040313959121704,21,21,0.042754173278809
000014_000000000084.input,0.04468584060669,13,13,0.039811134338379
000016_000000000096.input,0.048454761505127,15,15,0.031183242797852
000035_000000000105.input,0.038388013839722,26,26,0.034371137619019
000010_000000000100.input,0.048413038253784,10,10,0.044335842132568
000018_000000000108.input,0.04763388633728,15,15,0.031986236572266
000012_000000000120.input,0.038302183151245,11,11,0.052608966827393
